bus_id,route,stop,hour,crowd
BUS753,300C,Majestic,18,High
BUS754,500A,BTM,12,Low
BUS755,600F,BTM,16,Low
BUS756,500A,Majestic,22,Medium
BUS757,500A,BTM,20,High
BUS758,300C,Whitefield,20,High
BUS759,300C,Indiranagar,10,High
BUS760,201,Indiranagar,11,Low
BUS761,201,BTM,7,Medium
BUS762,300C,Majestic,16,Low
BUS763,201,BTM,2,Medium
BUS764,300C,BTM,20,High
BUS765,300C,Electronic City,15,Low
BUS766,300C,Whitefield,22,Medium
BUS767,500A,Electronic City,7,Medium
BUS768,500A,Electronic City,7,Medium
BUS769,300C,Whitefield,7,Medium
BUS770,201,Whitefield,13,Low
BUS771,500A,Indiranagar,23,Medium
BUS772,600F,Indiranagar,4,Medium
BUS773,500A,Whitefield,15,Low
BUS774,201,BTM,13,Low
BUS775,201,Whitefield,19,High
BUS776,600F,Indiranagar,10,High
BUS777,300C,Indiranagar,7,Medium
BUS778,201,Majestic,1,Medium
BUS779,300C,Majestic,9,High
BUS780,201,Indiranagar,3,Medium
BUS781,401K,Majestic,20,High
BUS782,500A,Electronic City,1,Medium
BUS783,201,Electronic City,19,High
BUS784,201,Indiranagar,21,Medium
BUS785,300C,Whitefield,22,Medium
BUS786,300C,Majestic,0,Medium
BUS787,600F,Whitefield,0,Medium
BUS788,600F,Whitefield,4,Medium
BUS789,201,Indiranagar,16,Low
BUS790,500A,Indiranagar,12,Low
BUS791,600F,Majestic,11,Low
BUS792,300C,Indiranagar,23,Medium
BUS793,500A,Indiranagar,6,Medium
BUS794,201,BTM,7,Medium
BUS795,300C,Indiranagar,17,High
BUS796,500A,BTM,7,Medium
BUS797,500A,BTM,5,Medium
BUS798,500A,Electronic City,10,High
BUS799,300C,Whitefield,13,Low
BUS800,500A,Whitefield,23,Medium
BUS801,201,BTM,8,High
BUS802,600F,Electronic City,17,High
BUS803,300C,Indiranagar,19,High
BUS804,401K,Whitefield,11,Low
BUS805,300C,BTM,14,Low
BUS806,500A,BTM,23,Medium
BUS807,401K,Electronic City,15,Low
BUS808,500A,BTM,0,Medium
BUS809,500A,Electronic City,0,Medium
BUS810,300C,Whitefield,19,High
BUS811,600F,Majestic,21,Medium
BUS812,300C,Electronic City,2,Medium
BUS813,600F,Indiranagar,4,Medium
BUS814,600F,Majestic,11,Low
BUS815,201,Indiranagar,20,High
BUS816,401K,Majestic,5,Medium
BUS817,300C,Indiranagar,8,High
BUS818,300C,Majestic,8,High
BUS819,600F,Indiranagar,13,Low
BUS820,401K,BTM,8,High
BUS821,201,Electronic City,22,Medium
BUS822,201,Indiranagar,12,Low
BUS823,401K,Indiranagar,8,High
BUS824,600F,BTM,0,Medium
BUS825,201,BTM,22,Medium
BUS826,600F,Majestic,15,Low
BUS827,600F,Whitefield,17,High
BUS828,600F,BTM,5,Medium
BUS829,600F,BTM,14,Low
BUS830,401K,Whitefield,18,High
BUS831,300C,BTM,18,High
BUS832,300C,Whitefield,6,Medium
BUS833,401K,Electronic City,17,High
BUS834,401K,BTM,18,High
BUS835,500A,Whitefield,0,Medium
BUS836,201,Majestic,5,Medium
BUS837,201,Whitefield,10,High
BUS838,401K,Majestic,8,High
BUS839,401K,Majestic,8,High
BUS840,300C,Indiranagar,4,Medium
BUS841,201,Electronic City,3,Medium
BUS842,201,Whitefield,3,Medium
BUS843,401K,Majestic,15,Low
BUS844,300C,Majestic,20,High
BUS845,600F,Electronic City,2,Medium
BUS846,201,Whitefield,0,Medium
BUS847,300C,BTM,22,Medium
BUS848,201,Indiranagar,3,Medium
BUS849,600F,Indiranagar,5,Medium
BUS850,300C,Electronic City,13,Low
BUS851,300C,Whitefield,11,Low
BUS852,600F,Indiranagar,20,High
BUS853,201,Whitefield,6,Medium
BUS854,201,BTM,2,Medium
BUS855,401K,Indiranagar,3,Medium
BUS856,300C,Majestic,17,High
BUS857,201,Indiranagar,2,Medium
BUS858,401K,Electronic City,14,Low
BUS859,300C,Whitefield,10,High
BUS860,500A,Indiranagar,21,Medium
BUS861,300C,Majestic,18,High
BUS862,500A,Electronic City,15,Low
BUS863,500A,Indiranagar,21,Medium
BUS864,401K,Indiranagar,21,Medium
BUS865,600F,Indiranagar,0,Medium
BUS866,500A,Majestic,17,High
BUS867,500A,BTM,22,Medium
BUS868,500A,Electronic City,13,Low
BUS869,300C,Electronic City,21,Medium
BUS870,201,Majestic,18,High
BUS871,401K,Indiranagar,2,Medium
BUS872,401K,Whitefield,4,Medium
BUS873,401K,Majestic,1,Medium
BUS874,401K,Indiranagar,20,High
BUS875,500A,Electronic City,4,Medium
BUS876,401K,Indiranagar,0,Medium
BUS877,401K,BTM,11,Low
BUS878,300C,Indiranagar,3,Medium
BUS879,500A,Majestic,20,High
BUS880,600F,Indiranagar,5,Medium
BUS881,500A,BTM,0,Medium
BUS882,600F,Whitefield,16,Low
BUS883,300C,BTM,16,Low
BUS884,600F,BTM,0,Medium
BUS885,300C,Majestic,7,Medium
BUS886,600F,BTM,17,High
BUS887,300C,Electronic City,8,High
BUS888,300C,BTM,13,Low
BUS889,300C,BTM,17,High
BUS890,201,Indiranagar,16,Low
BUS891,401K,Electronic City,21,Medium
BUS892,401K,BTM,23,Medium
BUS893,300C,Electronic City,3,Medium
BUS894,201,Indiranagar,15,Low
BUS895,300C,Whitefield,7,Medium
BUS896,401K,Indiranagar,19,High
BUS897,600F,Whitefield,12,Low
BUS898,201,Whitefield,2,Medium
BUS899,201,BTM,23,Medium
BUS900,600F,Electronic City,5,Medium
BUS901,201,Indiranagar,15,Low
BUS902,201,BTM,5,Medium
BUS903,401K,Whitefield,20,High
BUS904,201,Whitefield,8,High
BUS905,201,Majestic,16,Low
BUS906,300C,Majestic,0,Medium
BUS907,300C,Majestic,15,Low
BUS908,500A,Majestic,20,High
BUS909,401K,Indiranagar,19,High
BUS910,500A,Majestic,12,Low
BUS911,300C,Electronic City,22,Medium
BUS912,600F,Whitefield,19,High
BUS913,300C,Indiranagar,14,Low
BUS914,201,Indiranagar,16,Low
BUS915,401K,Electronic City,19,High
BUS916,600F,Majestic,3,Medium
BUS917,201,Majestic,14,Low
BUS918,300C,Majestic,18,High
BUS919,300C,Indiranagar,19,High
BUS920,600F,Indiranagar,22,Medium
BUS921,401K,BTM,0,Medium
BUS922,500A,Whitefield,17,High
BUS923,500A,Indiranagar,6,Medium
BUS924,500A,Indiranagar,7,Medium
BUS925,201,BTM,9,High
BUS926,401K,Indiranagar,10,High
BUS927,600F,Electronic City,11,Low
BUS928,600F,Electronic City,20,High
BUS929,600F,BTM,19,High
BUS930,300C,Indiranagar,2,Medium
BUS931,401K,Whitefield,15,Low
BUS932,401K,Majestic,19,High
BUS933,500A,Whitefield,12,Low
BUS934,201,BTM,22,Medium
BUS935,401K,Indiranagar,11,Low
BUS936,401K,Electronic City,3,Medium
BUS937,500A,Indiranagar,17,High
BUS938,500A,BTM,4,Medium
BUS939,600F,Whitefield,15,Low
BUS940,500A,Indiranagar,8,High
BUS941,500A,BTM,6,Medium
BUS942,401K,Majestic,3,Medium
BUS943,401K,Indiranagar,1,Medium
BUS944,401K,Whitefield,7,Medium
BUS945,401K,Majestic,6,Medium
BUS946,600F,Majestic,17,High
BUS947,401K,BTM,0,Medium
BUS948,600F,BTM,0,Medium
BUS949,401K,Whitefield,9,High
BUS950,500A,Majestic,2,Medium
BUS951,201,Whitefield,10,High
BUS952,300C,Whitefield,20,High
BUS953,300C,Majestic,17,High
BUS954,300C,Indiranagar,7,Medium
BUS955,600F,Majestic,16,Low
BUS956,201,Electronic City,23,Medium
BUS957,300C,Indiranagar,7,Medium
BUS958,500A,Electronic City,22,Medium
BUS959,401K,Indiranagar,23,Medium
BUS960,500A,Whitefield,17,High
BUS961,600F,Indiranagar,19,High
BUS962,300C,BTM,8,High
BUS963,201,BTM,2,Medium
BUS964,600F,Indiranagar,14,Low
BUS965,300C,Electronic City,14,Low
BUS966,500A,Majestic,22,Medium
BUS967,500A,Electronic City,21,Medium
BUS968,201,Indiranagar,5,Medium
BUS969,300C,Majestic,3,Medium
BUS970,600F,Indiranagar,9,High
BUS971,600F,Whitefield,6,Medium
BUS972,401K,BTM,16,Low
BUS973,600F,Electronic City,4,Medium
BUS974,500A,Indiranagar,4,Medium
BUS975,401K,BTM,16,Low
BUS976,500A,BTM,0,Medium
BUS977,300C,Whitefield,22,Medium
BUS978,500A,Majestic,20,High
BUS979,500A,Electronic City,15,Low
BUS980,600F,Electronic City,2,Medium
BUS981,300C,Indiranagar,14,Low
BUS982,401K,Majestic,9,High
BUS983,201,Majestic,22,Medium
BUS984,500A,Electronic City,7,Medium
BUS985,401K,Majestic,16,Low
BUS986,201,Indiranagar,15,Low
BUS987,500A,Indiranagar,12,Low
BUS988,300C,BTM,9,High
BUS989,500A,Electronic City,0,Medium
BUS990,500A,Indiranagar,5,Medium
BUS991,500A,Indiranagar,7,Medium
BUS992,300C,BTM,21,Medium
BUS993,600F,Electronic City,3,Medium
BUS994,500A,BTM,5,Medium
BUS995,401K,Majestic,22,Medium
BUS996,401K,Majestic,16,Low
BUS997,201,BTM,22,Medium
BUS998,600F,Whitefield,20,High
BUS999,401K,Whitefield,23,Medium
