bus_id,route_id,route_name,stop_id,stop_name,hour,crowd
BUS390,zr,APS-26,4se,Kurudu Sonnenahalli Cross,11,Low
BUS391,2dy,RBI-01,12x,Abbigere Gate,22,Medium
BUS392,1r1,37,mv,Malenallasandra,3,Medium
BUS393,2am,322-M,1ea,MS Ramayya Hospital,17,High
BUS394,1tj,364-G KBS-D34G,3d1,Aane Kempegowdana Doddy,0,Medium
BUS395,kv,BC-7B 8thM-KMT,1ip,Gurukula School Tharahunase,19,High
BUS396,1rh,212-C,2s8,Malleshwara 15th Cross  (8th Main),19,High
BUS397,ix,BTP-4,5m7,Nettakallappa Circle,8,High
BUS398,1n,372,5gb,Brundavana Nagara,9,High
BUS399,jf,ARMY-04,py,Attivatta Gate,8,High
BUS400,3q,289-A,2se,Depot-13 Kathriguppe,8,High
BUS401,2kn,MF-15,1kf,Milk Booth,12,Low
BUS402,31t,292,15m,Gopasandra Gate,11,Low
BUS403,1ve,295-D KBS-YBD,6eo,Mathikere,15,Low
BUS404,1wh,286-A,4hc,Rachenahalli Cross,11,Low
BUS405,2sd,212-M,3g3,Suranjan Das Road/NGEF,4,Medium
BUS406,1ph,323-B D41G-KGR,3o0,CS-Vidyaniketan School Hebbala,1,Medium
BUS407,1c4,D31G-MCCVN,2x4,Bagalur Cross,8,High
BUS408,xh,225-C BEML5-JNKLO,4bk,Krishnasagara,11,Low
BUS409,p7,45-G KMK-KBS-BEMLF,6dl,Adakimaranahalli,7,Medium
BUS410,1d0,280-L,3em,CS-RR Medical College,19,High
BUS411,2ta,218-A,33q,Shivanahalli 4th Main,0,Medium
BUS412,1av,223-F,61k,Manchappanahalli Cross,14,Low
BUS413,1g6,CLO-BSN,4yg,Palanajogahalli Church,4,Medium
BUS414,2a1,290-G SBS-ATR,ek,Bombay Dyeing Yashwanthapura,17,High
BUS415,20l,305-Q,mk,Bhuvaneshwari Nagara,19,High
BUS416,oy,161-D SBS-BTMS,4d9,Udakunte,21,Medium
BUS417,7u,298-MP KBS-HRH-VJP,3is,Basappanapalya Cross,2,Medium
BUS418,2h9,ABS-2,1fi,YAPB Toll,2,Medium
BUS419,2h7,401-RA,5m9,Makali Cross,19,High
BUS420,hv,KBS-1K KBS-HALM,64o,Sangam Circle,19,High
BUS421,2zt,KLNB-HBRL,2gn,Glass House,10,High
BUS422,2d6,315-J KBS-KLK-KMS,3aw,Maruthi Nagara,8,High
BUS423,1cn,KVPTA-11,3dm,Gejjigadahalli,16,Low
BUS424,2j5,KVPTA-7,190,Kannalli,17,High
BUS425,25s,201-G SGH-JBN,34y,Shettigowdanahalli,15,Low
BUS426,23x,505,zy,Madapatna Cross,0,Medium
BUS427,js,289-R,v5,KIADB Circle Bagalur,3,Medium
BUS428,2r3,PSS-LGR,5nc,Govindapura Cross,4,Medium
BUS429,2d8,283,1cn,Chikka Veeraiahanapalya Cross,17,High
BUS430,3m,412-H HBLB-ISRO,3f9,16th Main Hopcoms BTM Layout,5,Medium
BUS431,co,3F-1,kx,Alanayakanahalli Gate,22,Medium
BUS432,zn,296,3ha,Janthagundanahalli,7,Medium
BUS433,1vt,245-M KMT-D43G,v6,CS-Bone Mill,3,Medium
BUS434,277,229,1jc,Kadirenahalli,11,Low
BUS435,d7,347-B,61g,Palya Gate,6,Medium
BUS436,ru,15-A,2xu,Thabarahalli,23,Medium
BUS437,2o5,211-Q,4xk,Medahalli,1,Medium
BUS438,1hr,D6-D6G,33m,Tharabanahalli,13,Low
BUS439,w6,325 D41G-HRHL,4mf,St Josephine School Annapoorneshwarinagara,16,Low
BUS440,24m,282-G HBLB-KDLH,6d1,Honnenahalli,8,High
BUS441,2d7,214,1v8,RBANMS College,7,Medium
BUS442,17i,BEMLA-14,4u4,Kaggalipura Junction,8,High
BUS443,c3,415-H,1zn,Lalbagh Metro Station,11,Low
BUS444,h1,502-G D45G-ITPL,66x,CS-CBI,16,Low
BUS445,z7,297-J DVH-DBP,1rk,Thalaghattapura Metro Station,3,Medium
BUS446,2vv,253  SBS-HSG,6bh,Beedi Karmikara Colony,7,Medium
BUS447,um,V-HBL-MKC-SBS,21c,Srirama Reddy Layout,10,High
BUS448,ut,298-Y KBS-YLR-VJP,1c0,Billa Kempanahalli Gate,20,High
BUS449,1z1,306-M,2y3,CS-FAZ FARMS,23,Medium
BUS450,2le,YBS-INGVBS,4vq,Kere Guddadahalli,19,High
BUS451,2qb,V-500F,19f,Hadohalli,2,Medium
BUS452,2k1,251-M,3ru,Gubbi Cross,14,Low
BUS453,1vp,KIA-8D,57s,Dodda Haralegere,9,High
BUS454,gy,331-A SBS-KDG,4sd,Nanjapura Cross,5,Medium
BUS455,ga,319-J TNF-DNR,58p,Chikka Sanne Gate,9,High
BUS456,2n7,317-N,rz,Depot-21 BEML Layout,21,Medium
BUS457,2jv,243-L,57n,Gidadakonenahalli Cross,11,Low
BUS458,1n,372,1xb,St Johns Hospital,23,Medium
BUS459,mw,227-VB,64h,Swami Narayana Gurukula,16,Low
BUS460,1kv,306-L D41G-MSD,6dg,Cheemasandra Gate,14,Low
BUS461,2dj,330 D6G-BSN,5el,Karlapura Gate BIT,22,Medium
BUS462,xi,HSS-4,1fz,Hinnakki Gate,10,High
BUS463,1hu,298-PA,1fd,Kada Agarahara Cross,8,High
BUS464,kp,ITPL-3N,62x,JK Basavanna Nagara,3,Medium
BUS465,19,281-H MYLH-KBS,560,Amruthanagara Canara Bank,2,Medium
BUS466,1ah,291-LA BSF-SBS,2yr,Maharaja Signal,12,Low
BUS467,31i,KIA-15A,2zg,Sonnenahalli,10,High
BUS468,w0,242-B KBS-TVK-NML,i0,Doddabannahalli,3,Medium
BUS469,10a,290-EY KBS-PTH,42z,M Medahalli,7,Medium
BUS470,en,285-MC PTH-SBS-HAL,4jy,Karekal Cross,7,Medium
BUS471,1je,500-Q VNSH-CJP,3r7,Ashwathnagara,6,Medium
BUS472,o0,600-F FLYOVER,2l0,Haragadde Cross,1,Medium
BUS473,v9,248-V KMT-D35G,7z,Khaji Hosahalli,15,Low
BUS474,2qk,365-Z BGT-MMDH,13n,Bengaluru Central Jail,14,Low
BUS475,2f0,415-D,53l,Seventh Day School (Coles Park),13,Low
BUS476,2vm,MF-27,6da,BEML Complex,23,Medium
BUS477,7,V-500CA,1n4,Lakshmipura,14,Low
BUS478,2zj,SCS-03,4iu,Agalakote,18,High
BUS479,126,D12G-BSVG,4kb,Beguru Nice Road Junction,8,High
BUS480,2ec,238-US KBS-VJN-DPJN,h7,HRBR 1st Stage,22,Medium
BUS481,ap,G-7 D31G-JPTS,2ly,Kaateramma Devasthana,18,High
BUS482,2my,25-H NSP-SNBS,2h1,Mandur,5,Medium
BUS483,2az,43-H ASP-PLO,4cy,Kempapura,23,Medium
BUS484,1p6,215-NE ANP11-MNRV-VSD,co,Ganagalu Cross,13,Low
BUS485,31u,VNS--24,31w,Poornaprajna Layout,8,High
BUS486,1wh,286-A,3yq,Cargo Village,0,Medium
BUS487,131,378-B,5r,Chokkasandra,9,High
BUS488,1ac,276 KBS-VRP-D45G,39k,CS-HAL Gnanajyothi School,8,High
BUS489,17e,KBS-13K,ra,Muthsandra,19,High
BUS490,1xx,317-YA,3gy,CS-Viva Toyota Hunasamaranahalli,23,Medium
BUS491,1a8,SHS-9,ja,Kempalinganahalli,13,Low
BUS492,14x,600-FC,y1,BHEL Layout,10,High
BUS493,1ig,BTP-5,2hn,Vinayaka Chitramandira,8,High
BUS494,31c,D51G-KDG,4jk,Lottegollahalli,1,Medium
BUS495,2qe,266 HGV-MTK-SBS,5le,NICE Road Veerabhadranagara,23,Medium
BUS496,254,307-C KBS-VGBDAN,4hf,Raghavendra Layout,23,Medium
BUS497,2xs,213-B,36b,Vinayaka Nagara Hesarghatta,13,Low
BUS498,ob,333-F,3l4,Halasuru Police Station,20,High
BUS499,2nc,500-A BSK-D10G,22,Papanahalli,5,Medium
BUS500,2m8,ARMY-11,6l,Kalkere,15,Low
BUS501,1to,258,15t,NCBS College,13,Low
BUS502,m1,254-E,2t3,Mudalayyana Doddy,21,Medium
BUS503,21t,254,23s,Booathanahalli,10,High
BUS504,2li,242-H,2lw,Uttarahalli,5,Medium
BUS505,2n0,221-G,lw,Coffee Day Hope Farm,14,Low
BUS506,1s,323-G D41G-RMN,4md,Gowdahalli,15,Low
BUS507,1g,507-K,51c,P and T Quarters,11,Low
BUS508,2ym,HALPV-12,3fb,Konanakunte Reliance Fresh,21,Medium
BUS509,2ky,146-B,p7,Thirumenahalli Gate,16,Low
BUS510,1ix,KMT-HSC,1b2,CS-RV College,11,Low
BUS511,jz,314-T,2rc,Yeshawanthapura New Railway Station,11,Low
BUS512,2vg,JNSVS-3,2xe,Alphine Apartment,21,Medium
BUS513,5g,96-B VSD,5bz,Vinayaka Nagara,7,Medium
BUS514,2e8,285-N,5e8,Tin Factory,20,High
BUS515,md,CALLBUS-2,1gk,Kaggalipura,7,Medium
BUS516,qy,KINHT-2,1rl,Marigowdanapalya,9,High
BUS517,2q8,375-D JGF-BSK,4mc,Poojena Agahara Dinne,13,Low
BUS518,1yv,398-B,b0,Saalu Doddy,13,Low
BUS519,28a,293-SD KBS-DVH-DBP,60v,Kamanahalli,22,Medium
BUS520,fk,KIA-17,1eu,Kothanuru,9,High
BUS521,2w9,284 KBS-KVRY,1j8,Bayyappanahalli Metro Station  Back Gate,21,Medium
BUS522,1ic,243-L KMT-LDH,402,Gopalapura,13,Low
BUS523,ij,D17-CLO,22g,Depot-44 Anjanapura,10,High
BUS524,124,225-D BEML5-BHELC,54s,Udipalya,7,Medium
BUS525,n3,255-C DSP-PLH,5dq,Mallasandra Poorvankara Apartment,18,High
BUS526,1ys,284-E ALS-KBS,4y3,Basavanna Devasthana CK Palya,5,Medium
BUS527,1q2,284-E,fo,Dinnepalya,0,Medium
BUS528,220,401-AN,5je,Dinnur Sudhamanagara,17,High
BUS529,1px,500-CF D41G-SJP-CKT,1gf,Lakshmidevi Nagara,12,Low
BUS530,28f,293-BC BTM-BGR,3wg,Prashanth Nagara,14,Low
BUS531,8s,STJHS-08,4vw,MES College Aradeshanahalli Road,7,Medium
BUS532,21t,254,3u0,Bank Circle Bashettyhalli,22,Medium
BUS533,ux,228-A GNP-SCS,4z1,Thagachaguppe,12,Low
BUS534,1x3,KBS-3A KBS-SRN,3qi,Maruthi Mandira,15,Low
BUS535,1pb,284-H PTH-GNR2,4es,Marsuru Gate,4,Medium
BUS536,1rh,212-C,12q,Vannarapet,6,Medium
BUS537,30r,293 SVPS-KBS,tm,Doddaballapura Railway Station,10,High
BUS538,vz,79-G VSDLO-VSD-SBS,11a,Kudure Mukha Colony,9,High
BUS539,ye,PTH-KVRY,1f4,Ganesha Temple Sahakara Nagara,0,Medium
BUS540,2py,D9-KVP,ix,Budigere,20,High
BUS541,1ai,366-R D27G-VDP,16v,Adugodi,1,Medium
BUS542,7f,210-NH,2m,Jalige,8,High
BUS543,164,306-Q,177,Kenchanapura,0,Medium
BUS544,14t,89-A,54o,Choudappa Layout,3,Medium
BUS545,2du,HALPV-11,5pf,Lakshmipura,17,High
BUS546,1yc,328-H ATB-KDG,qc,Bisanahalli Cross,10,High
BUS547,2d6,315-J KBS-KLK-KMS,5cy,Hulimangala,4,Medium
BUS548,2w,305-F D24G-NDVC,1uy,Bagalur Cross,12,Low
BUS549,1ff,288-A GPO-KDH,2qs,Hakki Pikki Colony Bannerughatta,13,Low
BUS550,sh,210-P PPLO-CKLS,3ps,Vijayapura Kere Kodi,5,Medium
BUS551,27y,346-CK,1oq,Basavanna Temple Hoovinayakanahalli,18,High
BUS552,ai,89-F YTTMC-GBER,2a0,Kakolu,11,Low
BUS553,2w9,284 KBS-KVRY,4pb,Magadi Road TollGate,12,Low
BUS554,1hu,298-PA,4kl,Thotagere Village,7,Medium
BUS555,15w,323-B,480,Passport Office Koramangala,23,Medium
BUS556,9i,217-D SMP-VSD-KBS,8f,Madappanahalli,9,High
BUS557,1ok,354-C CSB-MRS,48t,Dasanayakanahalli,14,Low
BUS558,1y9,215-X KMT-DKMS,2hf,Siddapura Cross,11,Low
BUS559,1w5,G-2 NGVJ-SJP,583,Halasahalli,7,Medium
BUS560,23w,HSR FDR-1,hi,Attivatta Gate,6,Medium
BUS561,188,MF-45,514,Cubbon Park Metro Station,9,High
BUS562,n4,269-A KMT-RCP-VRP,20d,KG Lakkenahalli Cross,14,Low
BUS563,w4,238-UM DPN-VJN-UST,59g,Ramohalli,23,Medium
BUS564,16g,378-D ELC-D12G,40e,Bheemajyothi Nagara Shankara Mutt,13,Low
BUS565,vs,285RC,4ge,KIADB Circle Bagalur,20,High
BUS566,nm,301,4kk,STRR Devanahalli Toll,18,High
BUS567,2r7,210-FA,2dc,Commercial Street,7,Medium
BUS568,ui,V-360B,1mq,Vittal Nagara,17,High
BUS569,3u,401-NY,3vz,Sonnenahalli Govt Hospital,19,High
BUS570,2cf,139,53r,Charls School Toll Gate,1,Medium
BUS571,2yk,258-H,13e,Malleshwara 15th Cross(8th Main),6,Medium
BUS572,1ye,231-J D36G-GDH,mu,Gudipalya,10,High
BUS573,r,401-N D31G-MBS,66,CS-Maruthi Mandira,18,High
BUS574,22s,BEL GS-22,1je,Darshan Farm,12,Low
BUS575,ou,250-DT D45G-KDGC,42w,Anjan Vidya Kendra School,14,Low
BUS576,15i,399-F D42G-HUK-ANK,5li,BSF Yalahanka,0,Medium
BUS577,2ca,243-A,3as,Mavinamara Vanakanahalli,6,Medium
BUS578,235,335-E BEML-HAL-KGD,vy,Nallur Cross,3,Medium
BUS579,f8,210-AA,2ps,Bettahalli Colony,4,Medium
BUS580,23y,201,4n1,Juggath Pharma,15,Low
BUS581,9n,MF-32,1i4,Sahukarapalya,17,High
BUS582,gk,301-T,1o4,Bull Temple,14,Low
BUS583,2qm,141-E SBS-KRM,1xh,Kundalahalli Metro Station,21,Medium
BUS584,2jb,500-CF,4hj,Gopalapura,12,Low
BUS585,fe,231-F,97,Kannalli,9,High
BUS586,yn,266-C KKL-KBS,3ex,Venkateshwara Layout,11,Low
BUS587,22r,BC-7B BDH-JHC-PSS,9i,Kodipalya,20,High
BUS588,1qu,500-D HBLB-KRM KM,5it,Kidwai Layout,17,High
BUS589,1u3,D42-D42G,1aj,Podu Village,0,Medium
BUS590,19t,238-U,48l,Billa Kempanahalli Gate,20,High
BUS591,ee,344-A,2d6,Bhuvaneshwari Nagara,12,Low
BUS592,9i,217-D SMP-VSD-KBS,1q1,Sheshadripuram College,0,Medium
BUS593,1a1,114-A STP-SBS-BCGHS,662,Kalya,1,Medium
BUS594,qd,242-U,481,Dodda Byalakere,2,Medium
BUS595,q9,346-C KMT-RYS,4s6,Kuppareddy Kere,5,Medium
BUS596,1pd,415 BVSN-SBS,4l9,Medi Agrahara Cross,13,Low
BUS597,1ot,ST BENEDICT-14,37f,Kogilu Cross,17,High
BUS598,1xl,D27G-RKT-BMS,28s,CS-Muttanallur Cross,0,Medium
BUS599,1qh,ITPL-2B,3mj,SRS Peenya,20,High
BUS600,yb,293-E,2tv,NICE Road 7th Stone,2,Medium
BUS601,17a,410-FC JHC-GGP-CLO,2sg,Dodda Gubbi,22,Medium
BUS602,2t4,HAV PV-07,jq,BTL College,20,High
BUS603,2rn,5F KGR-ANP,3l5,Bharathnagara Sunkadakatte,18,High
BUS604,2xw,227-A BEML5-MYS,5dv,Kodimanchanahalli Gate,9,High
BUS605,2lp,D25G-HSRBDA,cg,Muneshwara Devasthana,19,High
BUS606,310,221-KGR-LVP,3wa,Bidadi,20,High
BUS607,1ct,CHLS-3,5ve,Muttarayanapura,1,Medium
BUS608,2ga,MGR-APS,3c0,Kanminake,19,High
BUS609,2ck,378 ELC-SET,11v,K Narayanapura Cross,14,Low
BUS610,1a1,114-A STP-SBS-BCGHS,25j,Sonnappanahalli,22,Medium
BUS611,2xi,SHS-7,1l8,Minaznagara,15,Low
BUS612,31b,15-E KBS-PPLO,526,Kullegowdanapalya 1,6,Medium
BUS613,10a,290-EY KBS-PTH,5aq,CS-V CARE HOSPITAL,15,Low
BUS614,gz,DSC HAL-CVR,5o9,Jalabhavan,21,Medium
BUS615,4g,80-D YTTMC-RBJN,46s,ITC Factory,7,Medium
BUS616,q2,75 DPJN-MBS,3z1,Gundur,11,Low
BUS617,4e,BELGS-23,62r,Rajagopala Nagara Police Station,19,High
BUS618,1z,V-500HS,1w4,Doddagattiganabbe,19,High
BUS619,15i,399-F D42G-HUK-ANK,1ol,Dommasandra Circle,13,Low
BUS620,2ge,YHKOT-VNC-BLR,1ks,CS-ARMY Public School ASC Center,11,Low
BUS621,ev,507-K D45-CKB,hp,Vaddarahalli Cross,19,High
BUS622,1pt,238-U KBS-AIT,yh,Bettanahalli Site,15,Low
BUS623,282,211-E,9e,Gundur,2,Medium
BUS624,16n,213-A,2yt,Thirumalashettyhalli  Cross,13,Low
BUS625,lt,D06G-MRS,jn,Varadenahalli Handpost,23,Medium
BUS626,o7,255-A DSP-HKV,3ha,Janthagundanahalli,18,High
BUS627,fg,329-C D41G-KTR,4l9,Medi Agrahara Cross,9,High
BUS628,2je,G-4 D34G-BGRD,21g,Pipeline ISRO Layout,15,Low
BUS629,3n,CHAKRA-16A,4si,Kalenahalli Gate,7,Medium
BUS630,2gz,BC-7A,4ww,Makkala Koota,22,Medium
BUS631,2h9,ABS-2,27a,Navarang Theatre,0,Medium
BUS632,19r,284 D14G-RTNPS-KBS,2u3,Hennuru Petrol Bunk,23,Medium
BUS633,pt,500 BEML-MRTB-CSB,4s4,Sharadha Colony,19,High
BUS634,2v1,CLO-GKWLO,d7,Hosakote Toll,2,Medium
BUS635,1j4,335-S,5sv,Ranganathpura,5,Medium
BUS636,26v,KMT-LMG-KRMTTMC,2kf,Marigowdanapalya,12,Low
BUS637,2yr,215-H D-34-JPN6,ba,Indoor Stadium,2,Medium
BUS638,2hh,361-B,sz,Channegowdana Doddy,23,Medium
BUS639,pa,258-VA,4jr,Bidalapura Cross,7,Medium
BUS640,nw,36-G,3tu,KR Pura Railway Station,23,Medium
BUS641,1cw,D20-BSK,np,Bhimakanahalli Gate,18,High
BUS642,i1,ITPB-4H,rw,Sumuka Layout,2,Medium
BUS643,1p3,289-Y,46y,CPRI Quarters,6,Medium
BUS644,24u,D12-RRMC,5hi,Harohalli Petrol bunk,10,High
BUS645,2qo,245-R KBS-DJP,3kq,CS-Active Public School Hommadevanahalli,2,Medium
BUS646,d9,D14G-AJM,3bs,Veerannapalya,16,Low
BUS647,245,211-K,1jr,Kodalagurki,6,Medium
BUS648,1yb,253-J VSD-HGV,tn,Kuvempunagara,3,Medium
BUS649,21a,HALPV-16,61h,Nelamangala Hunasemara,12,Low
BUS650,179,401-L,3n4,Mahadeshwara Nagara,15,Low
BUS651,m7,358 KBS-MYS,4ry,Hegganahalli,23,Medium
BUS652,26y,DMLMDA-SBS,4en,Sahakara Nagara Post Office,20,High
BUS653,2c1,258-WA KMT-JTS,cx,Jayaram Layout (Hale Sampigehalli),13,Low
BUS654,2u4,399-F,1wl,Kaggalipura,10,High
BUS655,301,290-G,1q,Siddapura Nallurhalli,18,High
BUS656,df,KRMTTMC-BGR,3x1,Graphite India,11,Low
BUS657,wu,60A-MDP-NBC,63l,Boppanahalli Chikkapura,23,Medium
BUS658,ao,248-AB NGSMS-CKB,4e3,Chikkamaranahalli,0,Medium
BUS659,11g,225-C BEML5-MRBS,2nb,Lakkuppe,14,Low
BUS660,25x,227-A SBS-MYS,5mm,Summanahalli,9,High
BUS661,1mp,210-B KBS-KMT-CHG,1fj,CS-Kengeri Bus Stand,0,Medium
BUS662,8r,271-B KMT-2KVP,16p,Poojena Agrahara,16,Low
BUS663,2g2,250-A,2ke,Ganesha Temple Bettanahalli,2,Medium
BUS664,2ga,MGR-APS,67m,Swastik Sheshadripuram,11,Low
BUS665,28a,293-SD KBS-DVH-DBP,3nh,Moodalapalya,15,Low
BUS666,2tf,345-F,3xq,ISRO Quarters Jalahalli,4,Medium
BUS667,2jz,155,5k1,Sidi Hoskote,12,Low
BUS668,2sc,286-K SNBS-SBS-HBLB,63f,CS-Vijayanagara,12,Low
BUS669,1i3,328-H ATB-SJP-ABS,1l0,Halappanahalli,16,Low
BUS670,2a2,399-G,1rv,Bettahalli Colony,16,Low
BUS671,se,241-P,3pa,Saraswathi Nagara,2,Medium
BUS672,51,315-MF CVB-KHCQ-RMN-D24,iw,Brigade Palm Springs,10,High
BUS673,2ud,290-E KLN-YLKOT,2p4,Industrial Town Rajajinagara,13,Low
BUS674,2q9,MRBS-BUCG-SMA,59q,Avaragere Cross,2,Medium
BUS675,2c7,258 KBS-SMP,vi,Garudappa Circle Thigalarapalya,5,Medium
BUS676,13v,MKT-12HK,2nv,Bamboo Bazaar,19,High
BUS677,1i2,343-H,7t,Koyira,0,Medium
BUS678,260,323-A,1yw,Aralimara Industrial Area  Rajajinagara,14,Low
BUS679,2xj,245-H,5q2,Indira Nursing Home,23,Medium
BUS680,28f,293-BC BTM-BGR,ih,Nelaguli,3,Medium
BUS681,24j,329-C,294,Ambalagere,2,Medium
BUS682,27r,228-H,5v,Sheshadripuram College,21,Medium
BUS683,17i,BEMLA-14,25l,Doddy Chikkakuntanahalli,10,High
BUS684,2yw,316-B,3ej,Water Tank Kothanur Dinne,7,Medium
BUS685,2ru,255 MTH-DSP,2n2,CS-Bhuvaneshwari Nagar,5,Medium
BUS686,2nz,BCGHS-13,5bw,Yarappanahalli,1,Medium
BUS687,239,316-E,2v8,Bendiganahalli,19,High
BUS688,2uj,HALPV-6,1j1,TISB Boys Hostel,19,High
BUS689,1gb,89-E,vu,Arishinakunte,11,Low
BUS690,15d,334-E DBS-KDG,493,Forum Mall,4,Medium
BUS691,2vr,36-B,20x,Thippennahalli,17,High
BUS692,2pr,BEML B-22,457,New Gabbadi,21,Medium
BUS693,2lx,401-K CLO-YHKOT,5tk,Karadigowdanahalli,6,Medium
BUS694,2g5,285 BELF-HBLB-DBP,6dx,Meda Maranahalli,19,High
BUS695,1p7,241-D BRTN-VSD,574,Goraguntepalya,20,High
BUS696,289,242-MA KBS-SLVR,568,Madivala,19,High
BUS697,co,3F-1,68t,Gundenahalli Cross,2,Medium
BUS698,1r7,323-AB,4rh,NICE Road 16th Stone,9,High
BUS699,1jb,401-K D45G-KGR,4q2,Krishnasagara,1,Medium
BUS700,12p,MF-30,61m,Annapoorneshwari nagara Cross,19,High
BUS701,bv,228-G KCP-KBS,sj,Ramakrishnapura Gate,13,Low
BUS702,1mt,269-B KBS-RCP-D45,205,Nagaruru,0,Medium
BUS703,2dv,342-U,10w,Manjunatha Kalyana Mantapa,10,High
BUS704,ar,KMT-KBS-VNS,1pn,Shrunga School Devangondi,10,High
BUS705,qo,369-A,ee,Shirdi Sai Nagara,1,Medium
BUS706,7a,289-F PTH-HSK,6d4,MTR Hotel,16,Low
BUS707,pw,43-J VSD-HKLO,5zq,Kempapura Agarahara,20,High
BUS708,1qg,323-H,2x3,Kamalanagara Market,14,Low
BUS709,2ls,KBS-1K,5p6,Kotiganahalli,11,Low
BUS710,3y,500-DP DNK-GGP,4zg,Dodda Nekkundi,12,Low
BUS711,1op,79-J,144,Bettahalli Layout,19,High
BUS712,cf,211-DA,1y0,NICE Road 4th Stone,15,Low
BUS713,eh,285-MA,4ab,Balaji Layout 100ft Road,18,High
BUS714,di,365-Q,5rw,Kodigehalli Gate,2,Medium
BUS715,1u,251-G,14,Kannamangalapalya,5,Medium
BUS716,19n,BELGS-9,60y,80 feet Road Kalyananagara,14,Low
BUS717,5d,285-C,44a,Aladamara Laggere,4,Medium
BUS718,1qv,253-D KBS-TNS,481,Dodda Byalakere,16,Low
BUS719,1a,226-E KMT-CGD-BDD,395,Marnami Doddy,9,High
BUS720,p0,PESCE-1H,5gp,Bisanahalli,5,Medium
BUS721,1tn,MF-9 TNF-HDM,43q,Arishinakunte,15,Low
BUS722,1mp,210-B KBS-KMT-CHG,533,Karenahalli,2,Medium
BUS723,fi,279-E,5wj,Peddanapalya Cross,5,Medium
BUS724,30l,224-C,68p,Nagarajuna College Ananthapura,17,High
BUS725,1bi,35 VSD-KMT-KSGP,2o4,Wipro Park Koramangala,21,Medium
BUS726,2ts,250-B,3id,Huttanahalli,4,Medium
BUS727,2tg,223-D RRMC-DBT,15z,Kalyana Mantapa Koramangala,3,Medium
BUS728,2cu,BEMLA-4,60r,MEI Layout Arch,8,High
BUS729,zd,43-M,3db,Purushanahalli,16,Low
BUS730,qx,290-EB SBS-PTH,4h8,Hebbala Bridge,16,Low
BUS731,31e,251-D,34n,Jakkur Layout 3rd Cross.,11,Low
BUS732,2s1,MDP-ITPB,4od,Nandidurga Road,10,High
BUS733,2g9,311-J,660,Puttenahalli,2,Medium
BUS734,1fr,KBS-1I KBS-KVASC,3gf,Doddamma Temple,18,High
BUS735,1af,240-E,zl,Cambridge North Campus,7,Medium
BUS736,1xo,KMT-BLS-YPB,3cj,Mahal Chowdadenahalli,13,Low
BUS737,2as,228-C DKH-SBS,5tg,MVJ Medical Hospital,19,High
BUS738,v1,342-H,15b,Chikkammanapalya,17,High
BUS739,bd,211-NB,1tg,Pichaguntarapalya,18,High
BUS740,1ke,223-A CLO-DBT,14q,Kacharakanahalli,4,Medium
BUS741,21h,43-D,1l7,Ilathore Cross,5,Medium
BUS742,2ih,ITPL-5B,ky,Shyanumangala,13,Low
BUS743,w8,201 KRM KM-BSK,t5,Kempathimmanahalli,20,High
BUS744,2s8,75-E,4yn,Govt School Jakkur,9,High
BUS745,22x,279-A HBL-VSD-KMT,5oc,Bananduru,23,Medium
BUS746,q7,255-J KBS-HNS,2eh,CS-Hado Siddapura,12,Low
BUS747,1ud,285-MP,49,B Hosur Circle,9,High
BUS748,1bt,368 SBS-D27G,2an,IBM Gate,10,High
BUS749,u8,316-J,lm,Bidiganahalli Cross,2,Medium
BUS750,2yi,285-CA,5zk,Adakimaranahalli,22,Medium
BUS751,br,SPHS-15,2ck,Sevanayakanahalli,11,Low
BUS752,2ga,MGR-APS,4my,Channarayapatna,10,High
BUS753,2z0,364-C,3iv,Dodda Dunnasandra Cross,14,Low
BUS754,1fx,2KVP-JHE,jc,Sompura Tumakur Road,9,High
BUS755,2ez,50,3qo,Devaninjayyanapalya,11,Low
BUS756,1me,507-PS,11z,Systems Peenya,17,High
BUS757,gd,D19-PESCE,ot,Handigutte,20,High
BUS758,1cz,253-W D40G-TMH,2ub,Diwanarapalya,0,Medium
BUS759,po,284 VNS-YHKOT,2tu,Jayanagara Pump House,1,Medium
BUS760,63,270-D,4cw,Brook Haven JP Nagara 8th Phase,23,Medium
BUS761,2d3,276-E KMT-MTK-VRP-D45,3ne,Chowdeshwarinagara,15,Low
BUS762,2wn,293 SBS-MYLH-HNS,3fj,Old Baiyappanahalli,3,Medium
BUS763,19g,D4-SGH,54b,Indluvadi Cross,23,Medium
BUS764,1cs,YHKOT-SUAP,5ta,Kannuru Junction,20,High
BUS765,2ts,250-B,27l,Eradu Kamba,4,Medium
BUS766,12m,MF-25,1y3,Vijayanagara,2,Medium
BUS767,bd,211-NB,2yo,MICO Layout Checkpost Gopalan mall,0,Medium
BUS768,2hm,BC-4A,5ay,MEI Colony Laggere,2,Medium
BUS769,2fy,242-RA,3tc,Depot-25 Gate,21,Medium
BUS770,6d,271-C,1tc,Nursery Nelamangala,20,High
BUS771,52,MF-12 DPJN-BSK,289,Balaji Badavane Sulikere,16,Low
BUS772,r8,180,5hl,Kantanakunte,6,Medium
BUS773,uc,245-GA D31G-KDG,4zy,CS-Electronic City,4,Medium
BUS774,1wp,KLN-UTM,22w,Pillagumpa Factory Gate,7,Medium
BUS775,186,354-A,482,CS-Aluru,15,Low
BUS776,2eu,323-G,5a4,Rampura,19,High
